nm,VNIR_B1,VNIR_B2,VNIR_B3N,VNIR_B3B,SWIR_B4,SWIR_B5,SWIR_B6,SWIR_B7,SWIR_B8,SWIR_B9
892,0.0,0.0,0.0075,0.0146,0.0,0.0,0.0,0.0,0.0,0.0
896,0.0,0.0,0.0074,0.0141,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0049,0.0146,0.0,0.0,0.0,0.0,0.0,0.0
904,0.0,0.0,0.0024,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
908,0.0,0.0,0.0024,0.0183,0.0,0.0,0.0,0.0,0.0,0.0
912,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0
916,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0
920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0
1602,0.0,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.0
1605,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0,0.597,0.0,0.0,0.0,0.0,0.0
