nm,Green,Red,NIR1,NIR2
725,0.0,0.024,0.963,0.0
726,0.0,0.022,0.955,0.0
727,0.0,0.019,0.95,0.0
728,0.0,0.014,0.943,0.0
729,0.0,0.01,0.936,0.0
730,0.0,0.011,0.93,0.0
731,0.0,0.01,0.923,0.0
732,0.0,0.009,0.918,0.0
733,0.0,0.009,0.915,0.0
734,0.0,0.009,0.912,0.0
735,0.0,0.008,0.907,0.0
736,0.0,0.007,0.902,0.0
737,0.0,0.005,0.898,0.0
738,0.0,0.004,0.892,0.0
739,0.0,0.003,0.887,0.0
740,0.0,0.004,0.887,0.0
741,0.0,0.002,0.887,0.0
742,0.0,0.0,0.887,0.0
743,0.0,0.0,0.886,0.0
744,0.0,0.0,0.886,0.0
745,0.0,0.0,0.886,0.0
746,0.0,0.0,0.886,0.0
747,0.0,0.0,0.886,0.0
748,0.0,0.0,0.885,0.0
749,0.0,0.0,0.884,0.0
750,0.0,0.0,0.882,0.0
751,0.0,0.0,0.88,0.0
752,0.0,0.0,0.877,0.0
753,0.0,0.0,0.875,0.0
754,0.0,0.0,0.872,0.0
755,0.0,0.0,0.869,0.0
756,0.0,0.0,0.866,0.0
757,0.0,0.0,0.863,0.0
758,0.0,0.0,0.86,0.0
759,0.0,0.0,0.857,0.0
760,0.0,0.0,0.854,0.0
761,0.0,0.0,0.85,0.0
762,0.0,0.0,0.845,0.0
763,0.0,0.0,0.841,0.0
764,0.0,0.0,0.839,0.0
765,0.0,0.0,0.835,0.0
766,0.0,0.0,0.83,0.0
767,0.0,0.0,0.825,0.0
768,0.0,0.0,0.821,0.007
769,0.0,0.0,0.817,0.0035
770,0.0,0.0,0.814,0.00333333
771,0.0,0.0,0.811,0.006
772,0.0,0.0,0.81,0.00866667
773,0.0,0.0,0.807,0.01066667
774,0.0,0.0,0.805,0.01166667
775,0.0,0.0,0.803,0.009
776,0.0,0.0,0.801,0.01075
777,0.0,0.0,0.798,0.0094
778,0.0,0.0,0.795,0.0112
779,0.0,0.0,0.791,0.013
780,0.0,0.0,0.787,0.01233333
781,0.0,0.0,0.782,0.0145
782,0.0,0.0,0.777,0.01766667
783,0.0,0.0,0.772,0.02116667
784,0.0,0.0,0.769,0.02616667
785,0.0,0.0,0.764,0.03083333
786,0.0,0.0,0.759,0.035
787,0.0,0.0,0.755,0.04066667
788,0.0,0.0,0.749,0.04483333
789,0.0,0.0,0.743,0.04916667
790,0.0,0.0,0.737,0.05733333
791,0.0,0.0,0.731,0.06816667
792,0.0,0.0,0.726,0.07966667
793,0.0,0.0,0.72,0.09566667
794,0.0,0.0,0.715,0.10866667
795,0.0,0.0,0.708,0.1205
796,0.0,0.0,0.703,0.13716667
797,0.0,0.0,0.699,0.15833333
798,0.0,0.0,0.695,0.17633333
799,0.0,0.0,0.69,0.20183333
800,0.0,0.0,0.685,0.2265
801,0.0,0.0,0.68,0.26466667
802,0.0,0.0,0.675,0.30966667
803,0.0,0.0,0.672,0.37366667
804,0.0,0.0,0.669,0.41283333
805,0.0,0.0,0.665,0.4415
806,0.0,0.0,0.663,0.49916667
807,0.0,0.0,0.66,0.53816667
808,0.0,0.0,0.656,0.60666667
809,0.0,0.0,0.644,0.63833333
810,0.0,0.0,0.62,0.67916667
811,0.0,0.0,0.573,0.715
812,0.0,0.0,0.521,0.7435
813,0.0,0.0,0.468,0.7675
814,0.0,0.0,0.425,0.79566667
815,0.0,0.0,0.379,0.83216667
816,0.0,0.0,0.321,0.86316667
817,0.0,0.0,0.274,0.8925
818,0.0,0.0,0.211,0.92133333
819,0.0,0.0,0.18,0.946
820,0.0,0.0,0.152,0.96266667
821,0.0,0.0,0.125,0.9745
822,0.0,0.0,0.111,0.97783333
823,0.0,0.0,0.1,0.98
824,0.0,0.0,0.089,0.98083333
825,0.0,0.0,0.077,0.98116667
826,0.0,0.0,0.064,0.98166667
827,0.0,0.0,0.054,0.9815
828,0.0,0.0,0.043,0.981
829,0.0,0.0,0.034,0.98116667
830,0.0,0.0,0.026,0.981
831,0.0,0.0,0.021,0.981
832,0.0,0.0,0.02,0.981
833,0.0,0.0,0.017,0.98066667
834,0.0,0.0,0.016,0.9805
835,0.0,0.0,0.014,0.9805
836,0.0,0.0,0.015,0.97966667
837,0.0,0.0,0.013,0.9795
838,0.0,0.0,0.01,0.979
839,0.0,0.0,0.008,0.97833333
840,0.0,0.0,0.009,0.97816667
841,0.0,0.0,0.008,0.97766667
842,0.0,0.0,0.002,0.97733333
843,0.0,0.0,0.001,0.977
844,0.0,0.0,0.0,0.97616667
845,0.0,0.0,0.0,0.97566667
846,0.0,0.0,0.0,0.97516667
847,0.0,0.0,0.0,0.97483333
848,0.0,0.0,0.0,0.97383333
849,0.0,0.0,0.0,0.9735
850,0.0,0.0,0.0,0.973
851,0.0,0.0,0.0,0.97166667
852,0.0,0.0,0.0,0.97033333
853,0.0,0.0,0.0,0.96933333
854,0.0,0.0,0.0,0.96833333
855,0.0,0.0,0.0,0.96733333
856,0.0,0.0,0.0,0.96666667
857,0.0,0.0,0.0,0.96616667
858,0.0,0.0,0.0,0.966
859,0.0,0.0,0.0,0.96566667
860,0.0,0.0,0.0,0.965
861,0.0,0.0,0.0,0.96416667
862,0.0,0.0,0.0,0.9635
863,0.0,0.0,0.0,0.96216667
864,0.0,0.0,0.0,0.96183333
865,0.0,0.0,0.0,0.961
866,0.0,0.0,0.0,0.95966667
867,0.0,0.0,0.0,0.95783333
868,0.0,0.0,0.0,0.95666667
869,0.0,0.0,0.0,0.95516667
870,0.0,0.0,0.0,0.95383333
871,0.0,0.0,0.0,0.95216667
872,0.0,0.0,0.0,0.95
873,0.0,0.0,0.0,0.94833333
874,0.0,0.0,0.0,0.94733333
875,0.0,0.0,0.0,0.94633333
876,0.0,0.0,0.0,0.945
877,0.0,0.0,0.0,0.94383333
878,0.0,0.0,0.0,0.94266667
879,0.0,0.0,0.0,0.941
880,0.0,0.0,0.0,0.938
881,0.0,0.0,0.0,0.93683333
882,0.0,0.0,0.0,0.936
883,0.0,0.0,0.0,0.93533333
884,0.0,0.0,0.0,0.935
885,0.0,0.0,0.0,0.93516667
886,0.0,0.0,0.0,0.93483333
887,0.0,0.0,0.0,0.93516667
888,0.0,0.0,0.0,0.93516667
889,0.0,0.0,0.0,0.93483333
890,0.0,0.0,0.0,0.93483333
891,0.0,0.0,0.0,0.93533333
892,0.0,0.0,0.0,0.93566667
893,0.0,0.0,0.0,0.93583333
894,0.0,0.0,0.0,0.93633333
895,0.0,0.0,0.0,0.93633333
896,0.0,0.0,0.0,0.93583333
897,0.0,0.0,0.0,0.936
898,0.0,0.0,0.0,0.936
899,0.0,0.0,0.0,0.93566667
900,0.0,0.0,0.0,0.9355
901,0.0,0.0,0.0,0.9355
902,0.0,0.0,0.0,0.9365
903,0.0,0.0,0.0,0.93733333
904,0.0,0.0,0.0,0.93733333
905,0.0,0.0,0.0,0.9375
906,0.0,0.0,0.0,0.93766667
907,0.0,0.0,0.0,0.93783333
908,0.0,0.0,0.0,0.93816667
909,0.0,0.0,0.0,0.93866667
910,0.0,0.0,0.0,0.93933333
911,0.0,0.0,0.0,0.93983333
912,0.0,0.0,0.0,0.94033333
913,0.0,0.0,0.0,0.941
914,0.0,0.0,0.0,0.94133333
915,0.0,0.0,0.0,0.94116667
916,0.0,0.0,0.0,0.94133333
917,0.0,0.0,0.0,0.94083333
918,0.0,0.0,0.0,0.94083333
919,0.0,0.0,0.0,0.9405
920,0.0,0.0,0.0,0.94
921,0.0,0.0,0.0,0.93833333
922,0.0,0.0,0.0,0.936
923,0.0,0.0,0.0,0.9335
924,0.0,0.0,0.0,0.93033333
925,0.0,0.0,0.0,0.92633333
926,0.0,0.0,0.0,0.9235
927,0.0,0.0,0.0,0.92083333
928,0.0,0.0,0.0,0.91683333
929,0.0,0.0,0.0,0.91316667
930,0.0,0.0,0.0,0.9085
931,0.0,0.0,0.0,0.90466667
932,0.0,0.0,0.0,0.90183333
933,0.0,0.0,0.0,0.89916667
934,0.0,0.0,0.0,0.896
935,0.0,0.0,0.0,0.89216667
936,0.0,0.0,0.0,0.888
937,0.0,0.0,0.0,0.885
