nm,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Band 10,Band 11,Band 12,Band 13,Band 14,Band 15,Band 16,Band 17,Band 18,Band 19
489,0.0,0.0,0.00012617,0.0,0.0,0.0,0.0,0.0,0.0,0.995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,2.787e-05,3.648e-05,0.00013383,0.00244732,0.0,0.0,0.0,0.00111244,0.00012032,0.938498,0.00048595,0.00029838,6.49e-06,4.78e-06,2.38e-06,5.26e-06,4.262e-05,2.073e-05,6.141e-05
491,0.0,0.0,0.00012666,0.0,0.0,0.0,0.0,0.0,0.0,0.802791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,0.0,0.0,0.00012599,0.0,0.0,0.0,0.0,0.0,0.0,0.569115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,0.0,0.0,0.00011631,0.0,0.0,0.0,0.0,0.0,0.0,0.276504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.00016657,0.0,0.0,0.0,0.0,0.0,0.0,0.0144916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,0.0,0.0,0.00018307,0.0,0.0,0.0,0.0,0.0,0.0,0.00327816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,0.0,0.0,0.00016486,0.0,0.0,0.0,0.0,0.0,0.0,0.00095511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.00014495,0.0,0.0,0.0,0.0,0.0,0.0,0.00027307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.00016657,0.0,0.0,0.0,0.0,0.0,0.0,0.00017124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,2.138e-05,4.016e-05,0.00025826,0.00031546,0.0,0.0,0.0,0.00260528,0.00014884,7.391e-05,0.00068219,0.00040083,1.11e-05,6.82e-06,1.95e-06,5.88e-06,3.985e-05,1.473e-05,3.012e-05
501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,1.183e-05,4.479e-05,0.00033333,0.00048059,0.0,0.0,0.0,0.004129,0.00022173,0.00014061,0.00120268,0.0005978,3.65e-06,6.87e-06,3.11e-06,5.26e-06,4.378e-05,2.164e-05,5.004e-05
516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00195755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
