nm,Band_1p,Band_1,Band_2,Band_3,Band_4,Band_4p,Band_5p,Band_5,Band_7,Pan
628,0.0,0.0,0.00026,0.27544,0.0,0.0,0.0,0.0,0.0,0.91491
629,0.0,0.0,0.00021,0.35354,0.0,0.0,0.0,0.0,0.0,0.90655
630,0.0,0.0,0.00017,0.44384,0.0,0.0,0.0,0.0,0.0,0.89971
631,0.0,0.0,0.0,0.54546,0.0,0.0,0.0,0.0,0.0,0.89732
632,0.0,0.0,0.0,0.64489,0.0,0.0,0.0,0.0,0.0,0.89993
633,0.0,0.0,0.0,0.73004,0.0,0.0,0.0,0.0,0.0,0.91063
634,0.0,0.0,0.0,0.79863,0.0,0.0,0.0,0.0,0.0,0.92393
635,0.0,0.0,0.0,0.83734,0.0,0.0,0.0,0.0,0.0,0.93691
636,0.0,0.0,0.0,0.85565,0.0,0.0,0.0,0.0,0.0,0.95009
637,0.0,0.0,0.0,0.86014,0.0,0.0,0.0,0.0,0.0,0.95519
638,0.0,0.0,0.0,0.85607,0.0,0.0,0.0,0.0,0.0,0.95862
639,0.0,0.0,0.0,0.85171,0.0,0.0,0.0,0.0,0.0,0.96003
640,0.0,0.0,0.0,0.84349,0.0,0.0,0.0,0.0,0.0,0.96305
641,0.0,0.0,0.0,0.84554,0.0,0.0,0.0,0.0,0.0,0.96282
642,0.0,0.0,0.0,0.85532,0.0,0.0,0.0,0.0,0.0,0.96433
643,0.0,0.0,0.0,0.86361,0.0,0.0,0.0,0.0,0.0,0.96907
644,0.0,0.0,0.0,0.88001,0.0,0.0,0.0,0.0,0.0,0.96909
645,0.0,0.0,0.0,0.896,0.0,0.0,0.0,0.0,0.0,0.96505
646,0.0,0.0,0.0,0.90471,0.0,0.0,0.0,0.0,0.0,0.96173
647,0.0,0.0,0.0,0.91358,0.0,0.0,0.0,0.0,0.0,0.95182
648,0.0,0.0,0.0,0.92119,0.0,0.0,0.0,0.0,0.0,0.94484
649,0.0,0.0,0.0,0.92226,0.0,0.0,0.0,0.0,0.0,0.93534
650,0.0,0.0,0.0,0.9271,0.0,0.0,0.0,0.0,0.0,0.93579
651,0.0,0.0,0.0,0.93298,0.0,0.0,0.0,0.0,0.0,0.94039
652,0.0,0.0,0.0,0.93059,0.0,0.0,0.0,0.0,0.0,0.95425
653,0.0,0.0,0.0,0.9371,0.0,0.0,0.0,0.0,0.0,0.9693
654,0.0,0.0,0.0,0.92905,0.0,0.0,0.0,0.0,0.0,0.98034
655,0.0,0.0,0.0,0.92086,0.0,0.0,0.0,0.0,0.0,0.991
656,0.0,0.0,0.0,0.90809,0.0,0.0,0.0,0.0,0.0,1.0
657,0.0,0.0,0.0,0.89671,0.0,0.0,0.0,0.0,0.0,0.99738
658,0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.0,0.0,0.99197
659,0.0,0.0,0.0,0.88949,0.0,0.0,0.0,0.0,0.0,0.98417
660,0.0,0.0,0.0,0.89394,0.0,0.0,0.0,0.0,0.0,0.97323
661,0.0,0.0,0.0,0.90559,0.0,0.0,0.0,0.0,0.0,0.96243
662,0.0,0.0,0.0,0.92354,0.0,0.0,0.0,0.0,0.0,0.94622
663,0.0,0.0,0.0,0.93587,0.0,0.0,0.0,0.0,0.0,0.92725
664,0.0,0.0,0.0,0.94358,0.0,0.0,0.0,0.0,0.0,0.90348
665,0.0,0.0,0.0,0.94627,0.0,0.0,0.0,0.0,0.0,0.87391
