WL_nm,Blue,Green,Red,RedEdge,NIR
767,0.0000,0.0009,0.0000,0.0000,0.9823
768,0.0000,0.0010,0.0000,0.0000,0.9729
769,0.0000,0.0010,0.0000,0.0000,0.9685
770,0.0000,0.0009,0.0000,0.0000,0.9671
771,0.0000,0.0008,0.0000,0.0000,0.9694
772,0.0000,0.0006,0.0000,0.0000,0.9735
773,0.0000,0.0005,0.0000,0.0000,0.9776
774,0.0000,0.0004,0.0000,0.0000,0.9807
775,0.0000,0.0003,0.0000,0.0000,0.9827
776,0.0000,0.0002,0.0000,0.0000,0.9827
777,0.0000,0.0002,0.0000,0.0000,0.9807
778,0.0000,0.0002,0.0000,0.0000,0.9778
779,0.0000,0.0001,0.0000,0.0000,0.9739
780,0.0000,0.0001,0.0000,0.0000,0.9702
781,0.0000,0.0001,0.0000,0.0000,0.9667
782,0.0000,0.0001,0.0000,0.0000,0.9633
783,0.0000,0.0001,0.0000,0.0000,0.9609
784,0.0000,0.0001,0.0000,0.0000,0.9595
785,0.0000,0.0001,0.0000,0.0000,0.9582
786,0.0000,0.0001,0.0000,0.0000,0.9578
787,0.0000,0.0001,0.0000,0.0000,0.9574
788,0.0000,0.0001,0.0000,0.0000,0.9581
789,0.0000,0.0001,0.0000,0.0000,0.9587
790,0.0000,0.0001,0.0000,0.0000,0.9585
791,0.0000,0.0001,0.0000,0.0000,0.9593
792,0.0000,0.0001,0.0000,0.0000,0.9593
793,0.0000,0.0002,0.0000,0.0000,0.9583
794,0.0000,0.0002,0.0000,0.0000,0.9574
795,0.0000,0.0002,0.0000,0.0000,0.9564
796,0.0000,0.0003,0.0000,0.0000,0.9555
797,0.0000,0.0003,0.0000,0.0000,0.9535
798,0.0000,0.0003,0.0000,0.0000,0.9525
799,0.0000,0.0004,0.0000,0.0000,0.9504
800,0.0000,0.0004,0.0000,0.0000,0.9482
801,0.0000,0.0004,0.0000,0.0000,0.9457
802,0.0000,0.0003,0.0000,0.0000,0.9440
803,0.0000,0.0003,0.0000,0.0000,0.9412
804,0.0000,0.0003,0.0000,0.0000,0.9393
805,0.0000,0.0003,0.0000,0.0000,0.9365
806,0.0000,0.0003,0.0000,0.0000,0.9347
807,0.0000,0.0003,0.0000,0.0000,0.9328
808,0.0000,0.0003,0.0000,0.0000,0.9310
809,0.0000,0.0003,0.0000,0.0000,0.9292
810,0.0000,0.0003,0.0000,0.0000,0.9276
811,0.0000,0.0003,0.0000,0.0000,0.9271
812,0.0000,0.0003,0.0000,0.0000,0.9268
813,0.0000,0.0003,0.0000,0.0000,0.9265
814,0.0000,0.0003,0.0000,0.0000,0.9263
815,0.0000,0.0002,0.0000,0.0000,0.9261
816,0.0000,0.0002,0.0000,0.0000,0.9259
817,0.0000,0.0002,0.0000,0.0000,0.9256
818,0.0000,0.0002,0.0000,0.0000,0.9253
819,0.0000,0.0001,0.0000,0.0000,0.9249
820,0.0000,0.0001,0.0000,0.0000,0.9234
821,0.0000,0.0001,0.0000,0.0000,0.9214
822,0.0000,0.0001,0.0000,0.0000,0.9184
823,0.0000,0.0001,0.0000,0.0000,0.9152
824,0.0000,0.0001,0.0000,0.0000,0.9111
825,0.0000,0.0001,0.0001,0.0000,0.9061
826,0.0000,0.0001,0.0001,0.0000,0.9019
827,0.0000,0.0001,0.0000,0.0000,0.8978
828,0.0000,0.0001,0.0000,0.0000,0.8945
829,0.0000,0.0001,0.0000,0.0000,0.8911
830,0.0000,0.0001,0.0000,0.0000,0.8885
831,0.0000,0.0001,0.0000,0.0000,0.8864
832,0.0000,0.0001,0.0000,0.0000,0.8850
833,0.0000,0.0001,0.0000,0.0000,0.8845
834,0.0000,0.0001,0.0000,0.0000,0.8829
835,0.0000,0.0001,0.0000,0.0000,0.8822
836,0.0000,0.0001,0.0000,0.0000,0.8797
837,0.0000,0.0001,0.0000,0.0000,0.8763
838,0.0000,0.0001,0.0000,0.0000,0.8711
839,0.0000,0.0001,0.0000,0.0000,0.8650
840,0.0000,0.0001,0.0000,0.0000,0.8570
841,0.0000,0.0001,0.0000,0.0000,0.8489
842,0.0000,0.0001,0.0000,0.0000,0.8424
843,0.0000,0.0001,0.0000,0.0000,0.8385
844,0.0000,0.0001,0.0000,0.0000,0.8379
845,0.0000,0.0001,0.0000,0.0000,0.8399
846,0.0000,0.0001,0.0000,0.0000,0.8418
847,0.0000,0.0001,0.0000,0.0000,0.8318
848,0.0000,0.0001,0.0000,0.0000,0.7950
849,0.0000,0.0001,0.0000,0.0000,0.7124
850,0.0000,0.0001,0.0000,0.0000,0.5823
851,0.0000,0.0001,0.0000,0.0000,0.4311
852,0.0000,0.0001,0.0000,0.0000,0.2954
853,0.0000,0.0001,0.0000,0.0000,0.1931
854,0.0000,0.0001,0.0000,0.0000,0.1237
855,0.0000,0.0001,0.0000,0.0000,0.0796
856,0.0000,0.0001,0.0000,0.0000,0.0518
857,0.0000,0.0001,0.0000,0.0000,0.0342
858,0.0000,0.0001,0.0000,0.0000,0.0230
859,0.0000,0.0001,0.0000,0.0000,0.0157
860,0.0000,0.0001,0.0000,0.0000,0.0109
861,0.0000,0.0001,0.0000,0.0000,0.0077
862,0.0000,0.0001,0.0000,0.0000,0.0055
863,0.0000,0.0001,0.0000,0.0000,0.0040
864,0.0000,0.0001,0.0000,0.0000,0.0029
865,0.0000,0.0001,0.0000,0.0000,0.0022
866,0.0000,0.0001,0.0000,0.0000,0.0016
867,0.0001,0.0001,0.0000,0.0000,0.0012
868,0.0001,0.0001,0.0000,0.0000,0.0009
869,0.0001,0.0001,0.0000,0.0000,0.0007
870,0.0000,0.0001,0.0000,0.0000,0.0006
871,0.0000,0.0001,0.0000,0.0000,0.0004
872,0.0000,0.0002,0.0000,0.0000,0.0003
873,0.0000,0.0002,0.0000,0.0000,0.0003
874,0.0000,0.0004,0.0000,0.0000,0.0002
875,0.0000,0.0007,0.0000,0.0000,0.0002
876,0.0000,0.0008,0.0000,0.0000,0.0001
877,0.0000,0.0004,0.0000,0.0000,0.0001
878,0.0000,0.0002,0.0000,0.0000,0.0001
879,0.0000,0.0001,0.0000,0.0000,0.0001
880,0.0000,0.0001,0.0001,0.0000,0.0001
881,0.0000,0.0000,0.0001,0.0000,0.0000
882,0.0000,0.0000,0.0002,0.0000,0.0000
883,0.0000,0.0000,0.0002,0.0000,0.0000
884,0.0000,0.0000,0.0002,0.0000,0.0000
885,0.0000,0.0000,0.0001,0.0000,0.0000
886,0.0000,0.0000,0.0001,0.0000,0.0000
887,0.0000,0.0000,0.0001,0.0000,0.0000
888,0.0000,0.0000,0.0000,0.0000,0.0000
889,0.0000,0.0000,0.0000,0.0000,0.0000
890,0.0000,0.0000,0.0000,0.0000,0.0000
891,0.0000,0.0000,0.0000,0.0000,0.0000
892,0.0000,0.0000,0.0000,0.0000,0.0000
893,0.0000,0.0000,0.0000,0.0000,0.0000
894,0.0000,0.0000,0.0000,0.0000,0.0000
895,0.0000,0.0000,0.0000,0.0000,0.0000
896,0.0000,0.0000,0.0000,0.0000,0.0000
897,0.0000,0.0000,0.0000,0.0000,0.0000
898,0.0000,0.0000,0.0000,0.0000,0.0000
899,0.0000,0.0000,0.0000,0.0000,0.0000
900,0.0000,0.0000,0.0000,0.0000,0.0000
