WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
498,0.0000,0.9882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
499,0.0000,0.9975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
500,0.0000,0.9970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
501,0.0000,0.9989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
502,0.0000,0.9934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
503,0.0000,0.9945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
504,0.0000,0.9961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
505,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
506,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
507,0.0000,0.9943,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
508,0.0000,0.9968,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000
509,0.0000,0.9977,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000
510,0.0000,0.9989,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000
511,0.0000,0.9925,0.0254,0.0000,0.0000,0.0000,0.0000,0.0000
512,0.0000,0.9943,0.0653,0.0000,0.0000,0.0000,0.0000,0.0000
513,0.0000,0.9945,0.2009,0.0000,0.0000,0.0000,0.0000,0.0000
514,0.0000,0.9966,0.5154,0.0000,0.0000,0.0000,0.0000,0.0000
515,0.0000,0.9964,0.8360,0.0000,0.0000,0.0000,0.0000,0.0000
516,0.0000,0.9879,0.9488,0.0000,0.0000,0.0000,0.0000,0.0000
517,0.0000,0.6441,0.9434,0.0000,0.0000,0.0000,0.0000,0.0000
518,0.0000,0.1360,0.9569,0.0000,0.0000,0.0000,0.0000,0.0000
519,0.0000,0.0207,0.9828,0.0000,0.0000,0.0000,0.0000,0.0000
520,0.0000,0.0027,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000
521,0.0000,0.0023,0.9808,0.0000,0.0000,0.0000,0.0000,0.0000
522,0.0000,0.0000,0.9572,0.0000,0.0000,0.0000,0.0000,0.0000
523,0.0000,0.0002,0.9416,0.0000,0.0000,0.0000,0.0000,0.0000
524,0.0000,0.0000,0.9389,0.0000,0.0000,0.0000,0.0000,0.0000
525,0.0000,0.0000,0.9522,0.0000,0.0000,0.0000,0.0000,0.0000
526,0.0000,0.0021,0.9788,0.0000,0.0000,0.0000,0.0000,0.0000
527,0.0000,0.0014,0.9985,0.0000,0.0000,0.0000,0.0000,0.0000
528,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
529,0.0000,0.0000,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000
530,0.0000,0.0000,0.9874,0.0005,0.0000,0.0000,0.0000,0.0000
531,0.0000,0.0005,0.9759,0.0758,0.0000,0.0000,0.0000,0.0000
532,0.0000,0.0000,0.9564,0.0000,0.0000,0.0000,0.0000,0.0000
533,0.0000,0.0000,0.9389,0.0009,0.0000,0.0000,0.0000,0.0000
534,0.0000,0.0002,0.9389,0.0000,0.0000,0.0000,0.0000,0.0000
535,0.0000,0.0000,0.9584,0.0000,0.0000,0.0000,0.0000,0.0000
